# Funciones para los movimientos
# Formato: CLAVE;Movimiento referencia1,Mov.ref.2,ect;Descripción
14B;Escudo Real;El usuario se protege contra movimientos de daño esta ronda. Reduce el Ataque del usuario de un movimiento de contacto en 2 niveles
14C;Barrera Espinosa;El usuario se protege de movimientos que lo tienen como objetivo esta ronda. Causa daño al usuario de un movimiento de contacto por 1/8 de sus PS máximos
14D;Golpe Fantasma;Movimiento de dos turnos. Desaparece del campo el primer turno. Ataca en el segundo turno. Es invulnerable durante el uso. Este turno, ignora movimientos del objetivo como Detección, Escudo Real, Escudo Tatami, Protección y Barrera Espinosa. Si tiene éxito, los anula este turno. Causa el doble de daño y tiene precisión perfecta si el objetivo ha usado Reducción
14E;;Movimiento de dos turnos. Salta el primer turno. En el segundo, se incrementan el Ataque Especial, Defensa Especial y Velocidad del usuario en 2 niveles cada uno
14F;Beso Drenaje, Ala Mortífera;El usuario gana 3/4 de los PS inflingidos como daño al objetivo
150;Aguijón Letal;Si el objetivo es debilitado con este movimiento, se incrementa el Ataque del usuario en 2 niveles
151;Última Palabra;Reduce el Ataque y Ataque Especial del objetivo en 1 nivel cada uno. Luego, el usuario es cambiado. Ignora movimientos de trampa
152;Cerrojo Feérico;Ningún Pokémon puede se cambiado o huir hasta el final de la siguiente ronda, mientras que el usuario se mantenga activo
153;Red Viscosa;Obstáculo de entrada. Coloca una red pegajosa en el campo rival que reduce la Velocidad de los Pokémon
154;Electric Terrain;Durante 5 rondas, crea un campo eléctrico que potencia los movimientos de tipo Eléctrico y evita que los Pokémon se duerman. Solo afecta a los Pokémon no voladores
155;Grassy Terrain;Durante 5 rondas, crea un campo de hierba que potencia los movimientos de tipo Planta y cura a los Pokémon al final de cada ronda. Solo afecta a los Pokémon no voladores
156;Misty Terrain;For 5 rounds, creates a misty terrain which weakens Dragon-type moves and protects Pokémon from status problems. Affects non-airborne Pokémon only
157;Paga Extra;Duplica el dinero que obtiene el jugador tras ganar el combate
158;Eructo;Fallará salvo que el usuario haya consumido una baya en algún momento
159;Psychic Terrain;For 5 rounds, creates a psychic terrain which boosts Psychic-type moves and protects Pokémon from priority moves. Affects non-airborne Pokémon only
15A;First Impression;Fails if this isn't the user's first turn
15B;Baneful Bunker;User is protected against damaging moves this round. Poisons the user of a stopped contact move

170;Photon Geyser;Ignores foe's ignoring abilities. This move's category is Special, if Special Attack of the attacker is greater than its Attack, and Physical otherwise
171;Sunsteel Strike, Moongeist Beam;Ignores foe's ignoring abilities

174;Aura Wheel;Increases the user's Speed by 1 stage. Fail if the user is not a Morpeko. If the user is a Morpeko-Hangry, this move will be Dark type
175;Body Press;User's Defense is used instead of user's Attack for this move's calculations
176;Bolt Beak, Fishious Rend;If the user moves before the target, this move's power is doubled
177;Clangorous Soul;Raises all user's stats by 1 stage in exchange for the user losing 1/3 of its maximum HP, rounded down. Fails if the user would faint

179;Decoración;Aumenta mucho el Ataque y Ataque Especial del objetivo
180;Disparo Certero;No es redirigido por habilidades como Storm Drain
181;Jaw Lock;Prevents both the user and the target from escaping
182;Life Dew;The user restores 1/4 of its maximum HP, rounded half up. If there is and adjacent ally, the user restores 1/4 of both its and its ally's maximum HP, rounded up
183;No RetreatIncreases each stat by 1 stage. Prevents user from fleeing
184;Obstruct;User is protected against damaging moves this round. Decreases the Defense of the user of a stopped contact move by 2 stages
185;Octolock;Lowers target's Defense and Special Defense by 1 stage at the end of each  turn. Prevents target from retreating
187;Tea Time;Forces all active Pokémon to consume their held berries. This move bypasses Substitutes
188;Stuff Cheeks;Consumes berry and raises the user's Defense by 2 stages
189;Azote Torrencial;De 2 a 5 golpes, siempre golpes críticos
190;Rayo Meteórico;Ataque de dos turnos. Sube el Ataque Especial del usuario en 1 nivel el primer turno, ataca en el segundo
191;Double Iron Bash;Hits twice. May cause the target to flinch
192;Revelation Dance;Move type changes based on user's primary type
193;Shell Trap;Shell Trap
19A;Laser Focus;The user's next move will be a critical hit
            
1A1;Gas Corrosivo;Los objetos equipados de los objetivos son inutilizados

1BC;;If anyone makes contact with the Pokemon while they are charging this move, they will be inflicted with a burn
1B9;Toxic Thread;Poisons the target. Decreases the target's Speed by 1 stage

1C9;Burn Up;After attacking, the user removes this move's type from their own typing. This move cannot be used for a Pokemon for which the move isn't STAB
1CF;Mind Blown;User takes recoil damage equal to 1/2 of the damage this move dealt

200;Motivación;Sube el Ataque y la Defensa del objetivo
201;Alto Voltaje;Golpea con el doble de potencia si el terreno es eléctrico
202;Bruma Explosiva;Aumenta el daño en 1.5 con terreno misterioso
203;Pulso de Campo;La potencia se duplica con algún campo activo. El tipo cambia depende del campo activo
204;Poltergeist;El movimiento falla si el rival no lleva objeto
205;Allanador Férreo;Elimina el campo activo y falla si no hay ningún campo activo
206;Moluscañón;Ataca por la parte física si la Defensa del oponente es menor que su Def. Esp
207;Vasta Fuerza;El ataque se potencia en Campo Psíquico y golpea a todos los Pokémon
208;Desahogo;La potencia se duplica si las estadísticas del atacante bajaron en el turno
209;Envidia Ardiente;Quema al oponente si se sube las estadísticas en el turno
210;Cura Selvática;Restaura 1/4 de los PS totales del atacante y sus aliados en combate. También elimina los problemas de estado
211;Fitoimpulso;El ataque tiene prioridad +1 en Campo de Hierba"},
212;Dracoflechas;Golpea 2 veces y, en combates dobles, un golpe a cada objetivo.
213;Fuerza G;Reduce la Defensa del objetivo en 1 nivel y x1.5 de potencia en Gravedad.
214;Metaláser;El usuario pierde la mitad de sus PS totales al usar el ataque.
215;Conjuro Funesto;Golpea y quita 3 PP al último movimiento usado por el oponente.

300;Teletransporte;Cambia de Pokémon en el combate. Prioridad negativa

CF0;Instruct;Instructs the target to use the move it last used again
CF1;Clanging Scales;Reduce la Defensa del usuario
CF2;Floral Healing;Heals user by an amount depending on the terrain
CF3;Purify;Heals the target's Status condition and heals the user by 50%
CF5;Shore Up;Heals user by an amount depending on the weather
CF6;Aurora Veil;For 5 rounds, lowers power of physical and special attacks against the user's Side
CF8;Sparkling Aria;Inflicts damage to the target. If the target is burned, the burn is healed
CF9;Spectral Thief;Copies the opponent's stat changes and then resets it. After this, it will Attack
CF10;Speed Swap;User and target swap their Speed stats
CF11;Spirit Shackle;Deals damage and makes the target unable to switch out
CF12;Gear Up;Raises the Attack and Special Attack of an ally
CF13;Strength Sap;Heals the user for an amount equal to the target's effective Attack stat Lowers the target's Attack by 1 stage
CF14;Tearful Look;Lowers the target's Attack and Special Attack. Bypasses Accuracy

CF15;;Lo que haga Throat Chop
            
CF19;Pollen Puff;If the target is an ally, heals the target for the amount of damage that would have been dealt.  If target is an opponent, damages them normally

CF21;Core Enforcer;Deals damage. If target has already moved, its ability will be supressed
CF22;;Lo que haga Stomping Tantrum
CF23;;Lo que haga Spotlight
